signal,param_name,param_value,dev_tp,dev_fn,dev_fp,dev_tn,dev_recall,dev_fp_rate,dev_precision,dev_f1,dev_fp_ids,dev_fn_ids,test_tp,test_fn,test_fp,test_tn,test_recall,test_fp_rate,test_precision,test_f1,test_fp_ids,test_fn_ids
A,L2_REJECT_MIN,0.99,0,1,6,23,0.0,0.20689655172413793,0.0,0.0,cardio_2;cardio_6;cardio_9;cardio_13;endo_6;endo_11,cardio_10,1,14,7,48,0.06666666666666667,0.12727272727272726,0.125,0.08695652173913045,cardio_19;cardio_23;cardio_27;cardio_39;cardio_42;cardio_49;endo_48,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
A,L2_REJECT_MIN,1.0,0,1,5,24,0.0,0.1724137931034483,0.0,0.0,cardio_2;cardio_6;cardio_9;cardio_13;endo_11,cardio_10,0,15,7,48,0.0,0.12727272727272726,0.0,0.0,cardio_19;cardio_23;cardio_27;cardio_39;cardio_42;cardio_49;endo_48,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
A,L2_REJECT_MIN,1.02,0,1,1,28,0.0,0.034482758620689655,0.0,0.0,endo_11,cardio_10,0,15,3,52,0.0,0.05454545454545454,0.0,0.0,cardio_23;cardio_42;cardio_49,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
A,L2_REJECT_MIN,1.05,0,1,0,29,0.0,0.0,0.0,0.0,,cardio_10,0,15,1,54,0.0,0.01818181818181818,0.0,0.0,cardio_49,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
A,L2_REJECT_MIN,1.1,0,1,0,29,0.0,0.0,0.0,0.0,,cardio_10,0,15,0,55,0.0,0.0,0.0,0.0,,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
A,L2_REJECT_MIN,1.15,0,1,0,29,0.0,0.0,0.0,0.0,,cardio_10,0,15,0,55,0.0,0.0,0.0,0.0,,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
A,L2_REJECT_MIN,1.2,0,1,0,29,0.0,0.0,0.0,0.0,,cardio_10,0,15,0,55,0.0,0.0,0.0,0.0,,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
A,L2_REJECT_MIN,1.25,0,1,0,29,0.0,0.0,0.0,0.0,,cardio_10,0,15,0,55,0.0,0.0,0.0,0.0,,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
A,L2_REJECT_MIN,1.3,0,1,0,29,0.0,0.0,0.0,0.0,,cardio_10,0,15,0,55,0.0,0.0,0.0,0.0,,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
B,CORPUS_DIST_K,-3.5,0,1,0,29,0.0,0.0,0.0,0.0,,cardio_10,0,15,0,55,0.0,0.0,0.0,0.0,,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
